,SMILES,EState_VSA6,PEOE_VSA5,fr_sulfonamd,NumAromaticHeterocycles,Chi3v,MolLogP,MinAbsEStateIndex,PEOE_VSA7,PEOE_VSA4
575,CCO[P@](=O)(c1ccccc1Cl)C1(O)CCCCC1,31.18920547353706,0.0,0,0,7.333357362084475,3.9326000000000025,0.2964394368858656,44.73975782831788,0.0
576,CCOc1ccc(-n2c(SC)nc3c(c2=O)SCC3)cc1,16.32898459718247,11.761884949391115,0,1,5.001266489186839,3.0013000000000014,0.0379721224909719,37.44497465704847,0.0
577,CCOc1ccc(Cl)cc1CSc1n[nH]c(CC)n1,11.761884949391115,5.098681808301038,0,1,3.656452551485523,3.711500000000002,0.6388260599362692,25.12283840507545,0.0
578,CCOc1cccc(-n2nnnc2-c2ccc(OC)cc2)c1,11.79160047642272,5.098681808301038,0,1,3.190918770942825,2.736600000000001,0.6154737066769826,53.74870980177002,4.681802935145185
579,CCOc1ccccc1C(=O)NCCCn1ccnc1,18.590530714839225,0.0,0,1,2.869364476254602,2.1019,0.0975174792139073,25.47729295953985,0.0
580,CCSC1=C(C#N)C2(CCCCC2)[C@H](C#N)C(=O)N1,0.0,11.761884949391115,0,0,4.935354823190015,2.6947600000000005,0.2367129629629625,18.59449685259881,10.523783109476971
581,CCc1ccc(Nc2cc(=O)n(C3CCCCC3)c(=O)[nH]2)cc1,0.0,0.0,0,1,4.54668172298837,3.347800000000001,0.0397108149453024,36.958650497398246,0.0
582,CN(C(=O)c1cc2sccc2n1C)C1CCCCC1,11.336785877934735,11.336785877934735,0,2,5.178862674368622,3.6445000000000025,0.1646296296296296,30.354440153241157,0.0
583,CN(C(=O)c1ccncc1)c1nnc(-c2ccncc2)s1,43.96778040605271,10.197363616602075,0,3,3.909227523359584,2.2717,0.1436774586377753,24.26546827384644,0.0
584,CN(C)S(=O)(=O)c1ccc2c(c1)[C@@H](CC(=O)[O-])OC2=O,0.0,0.0,1,0,4.780845764434324,-0.7115999999999996,0.0250944822373389,18.19910120538483,0.0
585,CN(C)c1ccccc1C(=O)c1ccccc1N(C)C,0.0,0.0,0,0,3.2609628230000136,3.0496000000000016,0.0542592592592594,24.26546827384644,0.0
586,CN1C(=O)NC(=O)/C(=C/[NH2+][C@@H]2C[C@@H]3CC[C@@]2(C)C3(C)C)C1=O,6.199954889820448,0.0,0,0,6.661513853264021,0.3566999999999998,0.0474811035525319,24.17453976141019,0.0
587,CN1C(=O)c2ccccc2[C@@H](C(=O)[O-])[C@H]1c1cccc(F)c1,30.33183534230805,0.0,0,0,4.023726627891366,1.4860999999999998,0.2894803476946335,29.32600418877882,0.0
588,CNC(=[NH+]c1cc(C)nn1-c1ccccc1)c1ccccc1,0.0,9.780484743446223,0,1,3.397825056455016,1.55902,0.9276880196523054,31.18920547353706,0.0
589,COC(=O)C1=C(C)OC([NH3+])=C(C#N)[C@H]1c1ccccc1,6.923737199690624,0.0,0,0,3.192010243828165,1.2244799999999991,0.2699130763416477,12.48718869138762,5.261891554738487
590,COC(=O)C1=C(NC(=O)c2cccc(OC)c2)CCS1,31.37526581512397,11.761884949391115,0,0,3.9496766754699473,1.9465,0.2612934618291758,24.61992282831084,0.0
591,COC(=O)C1=CNC=C(C(=O)OC)C1c1ccccc1Cl,24.26546827384644,0.0,0,0,3.5023075861104496,2.1406,0.2856481481481481,11.629818560158606,0.0
